,price
294,21991.0
295,11924.0
296,8999.0
297,14995.0
298,23930.0
301,21495.0
302,8888.0
305,20495.0
306,18529.0
307,29950.0
308,19999.0
309,28640.0
310,15988.0
312,18977.0
313,17988.0
315,16856.0
316,25988.0
317,21400.0
318,16388.0
319,25488.0
320,17495.0
321,28455.0
322,14999.0
323,28500.0
324,15255.0
325,26155.0
327,16877.0
328,17969.0
329,29831.0
330,24680.0
333,19795.0
334,26991.0
336,22095.0
337,24900.0
338,18156.0
339,14743.0
340,19449.0
342,19953.0
344,16898.0
345,24999.0
346,2995.0
348,16991.0
349,19990.0
351,17744.0
352,14990.0
354,20976.0
355,21975.0
356,23495.0
357,17995.0
358,17000.0
360,24881.0
361,29431.0
363,12333.0
364,24502.0
365,5973.0
369,19988.0
371,29887.0
372,29995.0
373,9991.0
375,16000.0
376,6795.0
377,26595.0
378,22859.0
379,20235.0
380,16994.0
381,22173.0
382,7900.0
385,18960.0
387,17500.0
388,23913.0
389,3995.0
391,26399.0
394,10990.0
395,23477.0
396,18318.0
397,15999.0
398,27459.0
399,21812.0
400,21839.0
402,21495.0
403,9991.0
404,29995.0
405,27499.0
406,16489.0
408,28500.0
409,21500.0
410,19362.0
411,18604.0
412,20988.0
413,20991.0
415,22970.0
416,25999.0
417,15995.0
418,17990.0
419,24900.0
421,17847.0
422,12850.0
423,12989.0
424,18391.0
426,15995.0
427,10990.0
428,14967.0
430,15500.0
432,9980.0
433,19895.0
434,23988.0
435,29970.0
436,13000.0
437,28995.0
438,23977.0
439,21500.0
440,7500.0
442,19990.0
444,25580.0
445,17990.0
447,26368.0
448,19300.0
449,29997.0
450,14989.0
453,11995.0
454,17488.0
455,26999.0
456,25593.0
457,24993.0
458,13963.0
459,25980.0
460,19787.0
462,12981.0
463,16995.0
465,17990.0
466,29995.0
468,10077.0
469,29980.0
470,21890.0
471,14980.0
472,20384.0
473,25000.0
476,15495.0
477,14694.0
478,27970.0
479,22588.0
480,25003.0
481,21618.0
482,26165.0
484,8595.0
486,13999.0
487,23995.0
489,11788.0
490,11980.0
493,16000.0
494,21495.0
495,26988.0
496,16900.0
497,29952.0
499,17900.0
500,19995.0
501,10599.0
502,22977.0
503,16624.0
504,20995.0
505,19895.0
506,17500.0
507,18383.0
508,13714.0
509,23152.0
510,24982.0
511,21390.0
513,15496.0
514,26000.0
515,24981.0
516,29989.0
517,29300.0
518,10944.0
521,26998.0
525,17995.0
526,15495.0
527,15997.0
528,27300.0
