,city_fuel_economy,engine_displacement,franchise_make,fuel_tank_volume,height,highway_fuel_economy,length,mileage,model_name,owner_count,power,savings_amount,torque,trimId,wheelbase,width,year,wheel_system_cat,wheel_system_display_cat,body_type_Sedan,engine_cylinders_I4,engine_cylinders_V6,transmission_display_8_Speed_Automatic
3280,21.0,2000.0,1,15.4,66.3,28.0,178.1,46900.0,1,2.0,240,74,270,55394,105.9,81.8,2015,2,1,0,1,0,0
3282,25.0,2000.0,1,13.2,61.6,30.0,164.0,51809.0,1,1.0,147,257,132,77851,102.4,70.9,2018,2,1,0,1,0,0
3283,28.0,1800.0,0,13.2,57.3,36.0,183.1,34001.0,0,1.0,132,20,128,68317,106.3,69.9,2017,3,3,1,1,0,0
3284,17.0,3800.0,0,19.8,58.5,25.0,200.6,42013.0,2,1.0,311,563,293,72789,119.9,74.8,2017,4,4,1,0,1,1
3285,21.0,2400.0,1,12.7,66.5,29.0,166.6,50986.0,1,1.0,180,494,175,70041,101.2,79.6,2017,0,2,0,1,0,0
3286,27.0,2400.0,0,17.2,57.7,36.0,191.4,96925.0,1,1.0,185,362,181,43924,109.3,72.8,2013,3,3,1,1,0,0
3289,25.0,2500.0,0,14.5,66.6,32.0,184.5,26821.0,1,1.0,170,442,175,68519,106.5,72.4,2017,2,1,0,1,0,0
3290,22.0,2400.0,1,13.6,65.0,26.0,175.1,64240.0,1,2.0,172,252,165,58510,103.7,71.4,2016,3,3,0,1,0,0
3291,19.0,3600.0,4,19.4,66.0,27.0,189.5,34360.0,3,1.0,310,1627,271,65898,112.5,75.0,2017,3,3,0,0,1,0
3292,18.0,3300.0,0,21.1,69.1,24.0,201.4,38236.0,1,2.0,276,1076,248,79135,120.5,89.3,2019,3,3,0,0,1,1
3294,18.0,3600.0,0,19.0,69.9,28.0,203.8,33546.0,3,1.0,287,775,262,82290,121.6,90.4,2019,3,3,0,0,1,0
3295,17.0,3300.0,0,18.8,66.5,23.0,187.4,31649.0,1,1.0,290,1689,252,67866,109.4,74.4,2017,2,1,0,0,1,0
3296,21.0,3500.0,0,19.0,67.8,28.0,192.4,14705.0,1,1.0,260,1702,240,77009,111.2,75.4,2018,3,3,0,0,1,0
