iter	Passed	Remaining
538	4897	4189
539	4907	4180
540	4916	4171
541	4925	4161
542	4934	4152
543	4944	4144
544	4953	4135
545	4962	4126
546	4971	4117
547	4981	4108
548	4990	4099
549	4999	4090
550	5009	4082
551	5018	4073
552	5027	4063
553	5037	4055
554	5046	4046
555	5055	4037
556	5064	4027
557	5073	4018
558	5082	4009
559	5091	4000
560	5101	3992
561	5112	3984
562	5120	3974
563	5128	3964
564	5137	3955
565	5146	3946
566	5155	3937
567	5165	3928
568	5173	3918
569	5182	3909
570	5191	3900
571	5200	3891
572	5210	3882
573	5220	3874
574	5229	3865
575	5238	3856
576	5248	3847
577	5257	3838
578	5267	3830
579	5277	3821
580	5286	3812
581	5295	3803
582	5305	3794
583	5313	3785
584	5322	3776
585	5332	3767
586	5341	3757
587	5350	3748
588	5359	3739
589	5369	3731
590	5378	3722
591	5387	3713
592	5396	3703
593	5405	3694
594	5415	3686
595	5424	3677
596	5433	3668
597	5442	3658
598	5451	3649
599	5460	3640
600	5469	3630
601	5478	3621
602	5487	3612
603	5496	3603
604	5506	3595
605	5515	3586
606	5525	3577
607	5534	3568
608	5543	3559
609	5552	3549
610	5561	3540
611	5570	3531
612	5578	3522
613	5587	3512
614	5596	3503
615	5606	3494
616	5615	3486
617	5625	3477
618	5634	3468
619	5644	3459
620	5653	3450
621	5662	3441
622	5671	3432
623	5680	3422
624	5689	3413
625	5698	3404
626	5708	3395
627	5718	3387
628	5727	3378
629	5736	3369
630	5745	3360
631	5754	3350
632	5763	3341
633	5773	3332
634	5782	3323
635	5791	3314
636	5801	3305
637	5810	3296
638	5819	3287
639	5827	3278
640	5836	3268
641	5845	3259
642	5854	3250
643	5863	3241
644	5872	3232
645	5881	3222
646	5890	3213
647	5900	3205
648	5909	3196
649	5918	3186
650	5927	3177
651	5936	3168
652	5946	3159
653	5955	3150
654	5964	3141
655	5973	3132
656	5982	3123
657	5991	3114
658	6000	3105
659	6009	3095
660	6019	3086
661	6028	3077
662	6038	3069
663	6051	3062
664	6063	3054
665	6078	3048
666	6091	3041
667	6104	3033
668	6114	3025
669	6126	3017
670	6139	3010
671	6150	3002
672	6163	2994
673	6175	2986
674	6186	2978
675	6194	2968
676	6208	2962
677	6226	2956
678	6238	2949
679	6251	2941
680	6265	2935
681	6274	2925
682	6285	2917
683	6295	2908
684	6305	2899
685	6315	2890
686	6326	2882
687	6337	2874
688	6349	2866
689	6360	2857
690	6371	2849
691	6382	2840
692	6394	2832
693	6404	2823
694	6414	2814
695	6423	2805
696	6432	2796
697	6441	2787
698	6450	2777
699	6459	2768
700	6470	2759
701	6480	2750
702	6489	2741
703	6497	2732
704	6507	2722
705	6516	2713
706	6526	2704
707	6535	2695
708	6544	2686
709	6554	2677
710	6562	2667
711	6572	2658
712	6581	2649
713	6590	2639
714	6599	2630
715	6608	2621
716	6618	2612
717	6627	2603
718	6636	2593
719	6645	2584
720	6654	2574
721	6663	2565
722	6672	2556
723	6681	2547
724	6690	2537
725	6699	2528
726	6708	2519
727	6717	2509
728	6726	2500
729	6736	2491
730	6747	2482
731	6756	2473
732	6765	2464
733	6774	2455
734	6782	2445
735	6792	2436
736	6801	2427
737	6811	2418
738	6819	2408
739	6829	2399
740	6837	2390
741	6846	2380
742	6855	2371
743	6863	2361
744	6873	2352
745	6882	2343
746	6890	2333
747	6900	2324
748	6908	2315
749	6918	2306
750	6933	2298
751	6948	2291
752	6961	2283
753	6973	2275
754	6985	2266
755	6999	2259
756	7012	2250
757	7025	2243
758	7039	2235
759	7052	2227
760	7065	2219
761	7077	2210
762	7090	2202
763	7102	2194
764	7120	2187
765	7132	2178
766	7146	2170
767	7163	2164
768	7174	2155
769	7183	2145
770	7194	2136
771	7204	2127
772	7215	2118
773	7226	2110
774	7237	2101
775	7249	2092
776	7260	2083
777	7271	2074
778	7283	2066
779	7293	2057
780	7302	2047
781	7311	2038
782	7320	2028
783	7329	2019
784	7338	2009
785	7346	2000
786	7355	1990
787	7364	1981
788	7373	1971
789	7382	1962
790	7391	1953
791	7401	1943
792	7410	1934
793	7419	1924
794	7427	1915
795	7436	1905
796	7445	1896
797	7454	1886
798	7463	1877
799	7473	1868
800	7483	1859
801	7493	1849
802	7502	1840
803	7511	1831
804	7520	1821
805	7530	1812
806	7539	1803
807	7548	1793
808	7558	1784
809	7567	1775
810	7577	1765
811	7585	1756
812	7595	1746
813	7603	1737
814	7613	1728
815	7623	1718
816	7631	1709
817	7640	1699
818	7649	1690
819	7658	1681
820	7667	1671
821	7677	1662
822	7686	1653
823	7695	1643
824	7703	1634
825	7713	1624
826	7722	1615
827	7731	1606
828	7740	1596
829	7749	1587
830	7758	1577
831	7767	1568
832	7777	1559
833	7786	1549
834	7795	1540
835	7804	1531
836	7813	1521
837	7822	1512
838	7831	1502
839	7840	1493
840	7849	1484
841	7858	1474
842	7867	1465
843	7876	1455
844	7885	1446
845	7893	1436
846	7903	1427
847	7910	1417
848	7919	1408
849	7930	1399
850	7939	1390
851	7948	1380
852	7956	1371
853	7966	1361
854	7975	1352
855	7984	1343
856	7994	1333
857	8003	1324
858	8012	1315
859	8021	1305
860	8030	1296
861	8040	1287
862	8049	1277
863	8059	1268
864	8069	1259
865	8078	1249
866	8087	1240
867	8097	1231
868	8105	1221
